num_annotation	genre_id	genre	pt_word	recapitalized_sent	pt_sentence_bold	num_annotators	min_annotation_time	max_annotation_time	avg_annotation_time	num_candidate_substitutions	num_unqiue_candidate_substituions
0	978-11	news	estradas	As equipes contratadas pelo Departamento de Estradas de Rodagem do Paraná (DER/PR) estão fazendo a primeira camada de asfalto no trecho da rodovia que passa por baixo da trincheira da Jacob Macanhan e também nos acessos laterais para a avenida Camilo di Lellis e para os bairros da região de Pinhais	As equipes contratadas pelo Departamento de <strong>Estradas</strong> de Rodagem do Paraná (DER/PR) estão fazendo a primeira camada de asfalto no trecho da rodovia que passa por baixo da trincheira da Jacob Macanhan e também nos acessos laterais para a avenida Camilo di Lellis e para os bairros da região de Pinhais	21	4	130	22.05	6	4
1	149-106	news	transparência	"Atenta à necessidade de melhorar a transparência dos fundos, a entidade lançará em seu Congresso que começa nesta segunda-feira, 12, em Florianópolis, o seu primeiro Código de Governança de Investimentos, de adesão voluntária dos fundos"	"Atenta à necessidade de melhorar a <strong>transparência</strong> dos fundos, a entidade lançará em seu Congresso que começa nesta segunda-feira, 12, em Florianópolis, o seu primeiro Código de Governança de Investimentos, de adesão voluntária dos fundos"	21	4	1717	62.71	6	4
2	28	bible	cordeiros	"A sua oferta de alimentos e as suas libações para o novilho, para o carneiro e para os cordeiros, conforme o seu número, segundo o estatuto."	"A sua oferta de alimentos e as suas libações para o novilho, para o carneiro e para os <strong>cordeiros,</strong> conforme o seu número, segundo o estatuto."	21	4	1717	67.83	4	3
3	2439	bible	expiação	"E o sacerdote fará expiação por toda a congregação dos filhos de Israel, e lhes será perdoado, porquanto foi por ignorância; e trouxeram a sua oferta, oferta queimada ao SENHOR, e a sua expiação do pecado perante o SENHOR, por causa da sua ignorância."	"E o sacerdote fará <strong>expiação</strong> por toda a congregação dos filhos de Israel, e lhes será perdoado, porquanto foi por ignorância; e trouxeram a sua oferta, oferta queimada ao SENHOR, e a sua expiação do pecado perante o SENHOR, por causa da sua ignorância."	21	4	1717	61.61	6	4
4	1207	bible	rigor	"Não te assenhorearás dele com rigor, mas do teu Deus terás temor."	"Não te assenhorearás dele com <strong>rigor,</strong> mas do teu Deus terás temor."	21	3	1717	58.83	6	5
5	149-106	news	foco	"Os desvios de conduta nos fundos de pensão – evidenciados, por exemplo, na Operação Greenfield da Polícia Federal, que teve como foco Previ, Petros, Funcef e Postalis – são pontos fora da curva do sistema, afirmou o presidente da Associação Brasileira das Entidades Fechadas de Previdência Complementar (Abrapp), José Ribeiro Pena Neto"	"Os desvios de conduta nos fundos de pensão – evidenciados, por exemplo, na Operação Greenfield da Polícia Federal, que teve como <strong>foco</strong> Previ, Petros, Funcef e Postalis – são pontos fora da curva do sistema, afirmou o presidente da Associação Brasileira das Entidades Fechadas de Previdência Complementar (Abrapp), José Ribeiro Pena Neto"	21	3	1717	52.91	4	3
6	1883	bible	pastores	"Agora, pois, tenho ouvido que tens tosquiadores. Ora, os pastores que tens estiveram conosco; agravo nenhum lhes fizemos, nem coisa alguma lhes faltou todos os dias que estiveram no Carmelo."	"Agora, pois, tenho ouvido que tens tosquiadores. Ora, os <strong>pastores</strong> que tens estiveram conosco; agravo nenhum lhes fizemos, nem coisa alguma lhes faltou todos os dias que estiveram no Carmelo."	21	3	1717	55.88	3	3
7	2085-57	news	empreiteiros	"Outro: a luta contra a corrupção é progressiva quando prende empreiteiros que ganharam contratos milionários na Petrobrás, mas reacionária quando a investigação é, tortuosamente, manipulada para criminalizar somente o PT"	"Outro: a luta contra a corrupção é progressiva quando prende <strong>empreiteiros</strong> que ganharam contratos milionários na Petrobrás, mas reacionária quando a investigação é, tortuosamente, manipulada para criminalizar somente o PT"	21	3	1717	56.2	5	2
202	596-96	news	atos	"Para que a organização criminosa alcançasse sucesso e pudesse praticar crimes ao longo dos anos, foi necessária a formatação de uma base empresarial, burocrática, técnica e política que desse sustentação aos atos criminosos"	"Para que a organização criminosa alcançasse sucesso e pudesse praticar crimes ao longo dos anos, foi necessária a formatação de uma base empresarial, burocrática, técnica e política que desse sustentação aos <strong>atos</strong> criminosos"	21	3	1717	53.55	8	4
8	2471	bible	aldeias	"Como também os ratos de ouro, segundo o número de todas as cidades dos filisteus, pertencentes aos cinco príncipes, desde as cidades fortificadas até às aldeias, e até Abel. A grande pedra, sobre a qual puseram a arca do SENHOR, ainda está até ao dia de hoje no campo de Josué, o bete-semita."	"Como também os ratos de ouro, segundo o número de todas as cidades dos filisteus, pertencentes aos cinco príncipes, desde as cidades fortificadas até às <strong>aldeias,</strong> e até Abel. A grande pedra, sobre a qual puseram a arca do SENHOR, ainda está até ao dia de hoje no campo de Josué, o bete-semita."	21	3	3192	64.88	7	5
203	1953	bible	escudo	"Israel, confia no SENHOR; ele é o seu auxílio e o seu escudo."	"Israel, confia no SENHOR; ele é o seu auxílio e o seu <strong>escudo.</strong>"	21	3	3192	62.03	4	3
9	1902	bible	mentiras	"Eles somente consultam como o hão de derrubar da sua excelência; deleitam-se em mentiras; com a boca bendizem, mas nas suas entranhas maldizem. (Selá.)"	"Eles somente consultam como o hão de derrubar da sua excelência; deleitam-se em <strong>mentiras;</strong> com a boca bendizem, mas nas suas entranhas maldizem. (Selá.)"	21	3	3192	58.38	4	3
10	1215-174	news	perigos	"No percurso rápido, estamos buscando uma vida mais agitada e audaciosa, que nos proporcione maiores triunfos, apesar dos perigos"	"No percurso rápido, estamos buscando uma vida mais agitada e audaciosa, que nos proporcione maiores triunfos, apesar dos <strong>perigos</strong>"	21	3	3256	68.49	5	5
204	798	bible	navegando	"E, navegando dali, chegamos no dia seguinte defronte de Quios, e no outro aportamos a Samos e, ficando em Trogílio, chegamos no dia seguinte a Mileto."	"E, <strong>navegando</strong> dali, chegamos no dia seguinte defronte de Quios, e no outro aportamos a Samos e, ficando em Trogílio, chegamos no dia seguinte a Mileto."	21	3	3256	66.03	5	4
